hostel,location,grade,rank,beds,study_room,tv_room,security,food_joint,ext_power,ac,proximity,post_code,latitude,longitude,price2018,price2019,price2020
ADOM - BI,AYEDUASE,3.7,good,2,yes,yes,yes,yes,yes,yes,1100,AK508,6.672022,-1.560857,,,3900
ADOM - BI,AYEDUASE,3.7,good,3,yes,yes,yes,yes,yes,no,1100,AK508,6.672022,-1.560857,,2200,2700
ADOM - BI,AYEDUASE,3.7,good,4,yes,yes,yes,yes,yes,no,1100,AK508,6.672022,-1.560857,,,2100
AFRIM,AYEDUASE,3.5,average,1,yes,no,yes,yes,no,no,600,AK508,6.673514,-1.563427,,,4500
AFRIM,AYEDUASE,3.5,average,2,yes,no,yes,yes,no,no,600,AK508,6.673514,-1.563427,,,2800
AFRIM,AYEDUASE,3.5,average,3,yes,no,yes,yes,no,no,600,AK508,6.673514,-1.563427,,,2300
AMANDAH,AYEDUASE,3.9,good,2,yes,yes,no,yes,yes,no,800,AK508,6.672752,-1.562544,,,2500
AMANDAH,AYEDUASE,3.9,good,3,yes,yes,no,yes,yes,no,800,AK508,6.672752,-1.562544,,1800,2000
AMANDAH,AYEDUASE,3.9,good,4,yes,yes,no,yes,yes,no,800,AK508,6.672752,-1.562544,,1500,1700
AMEN MAIN,AYEDUASE,2.7,fair,3,yes,no,yes,yes,no,no,1200,AK508,6.671211,-1.560507,,,2800
AMEN MAIN,AYEDUASE,2.7,fair,4,yes,no,yes,yes,no,no,1200,AK508,6.671211,-1.560507,,,2100
AMERICAN HOUSE,AYEDUASE,2.9,average,2,yes,yes,yes,yes,yes,no,2500,AK626,6.674153,-1.550347,,,2300
AMERICAN HOUSE,AYEDUASE,2.9,average,3,yes,yes,yes,yes,yes,no,2500,AK626,6.674153,-1.550347,1400,1700,2000
ANAROSA,KOTEI,4.4,good,2,yes,yes,yes,yes,no,no,1200,AK507,6.668253,-1.563599,,,2900
ANAROSA,KOTEI,4.4,good,3,yes,yes,yes,yes,no,no,1200,AK507,6.668253,-1.563599,,,2500
ANGLICAN,KENTINKRONO,3.6,average,4,yes,yes,yes,yes,no,no,2900,AK629,6.684385,-1.552968,,1400,1600
B O EXECUTIVE,AYEDUASE,3.4,average,2,yes,yes,yes,yes,yes,no,1100,AK509,6.676245,-1.561647,,,2600
B O EXECUTIVE,AYEDUASE,3.4,average,3,yes,yes,yes,yes,yes,no,1100,AK509,6.676245,-1.561647,1600,1800,2000
B O EXECUTIVE,AYEDUASE,3.4,average,4,yes,yes,yes,yes,yes,no,1100,AK509,6.676245,-1.561647,,1500,1600
BANIVILLAS,KENTINKRONO,3.9,good,1,yes,no,yes,yes,yes,yes,3000,AK630,6.690227,-1.552436,,,8500
BANIVILLAS,KENTINKRONO,3.9,good,2,yes,no,yes,yes,yes,yes,3000,AK630,6.690227,-1.552436,,,3280
BEACON,AYEDUASE,3.6,average,3,yes,yes,yes,yes,yes,no,1100,AK509,6.678387,-1.56295,,,2600
BEACON,AYEDUASE,3.6,average,4,yes,yes,yes,yes,yes,no,1100,AK509,6.678387,-1.56295,,1500,1800
BLUE ARK,BOMSO,3,average,1,no,yes,yes,yes,no,no,1900,AK316,6.681485,-1.57719,,,4500
BLUE ARK,BOMSO,3,average,2,no,yes,yes,yes,no,no,1900,AK316,6.681485,-1.57719,,,3200
BLUE ARK,BOMSO,3,average,3,no,yes,yes,yes,no,no,1900,AK316,6.681485,-1.57719,,,2600
BY HIS GRACE,AYEDUASE,4,good,2,yes,yes,yes,yes,yes,yes,1000,AK509,6.677138,-1.562924,,,4000
BY HIS GRACE,AYEDUASE,4,good,3,yes,yes,yes,yes,yes,no,1000,AK509,6.677138,-1.562924,,2200,2700
BY HIS GRACE,AYEDUASE,4,good,4,yes,yes,yes,yes,yes,no,1000,AK509,6.677138,-1.562924,,,2100
CANAM,KOTEI,4.2,good,2,yes,yes,yes,yes,yes,no,1000,AK507,6.669881,-1.563587,,,3200
CANAM,KOTEI,4.2,good,3,yes,yes,yes,yes,yes,no,1000,AK507,6.669881,-1.563587,,,2700
CASA MARIA,AYEDUASE,4,good,2,yes,yes,yes,yes,yes,no,1100,AK508,6.670658,-1.561676,,2500,3000
CELIA ROYAL,KOTEI,4,good,2,yes,yes,yes,yes,yes,yes,3700,AK505,6.660421,-1.563399,,,2500
CELIA ROYAL,KOTEI,4,good,4,yes,yes,yes,yes,yes,no,3700,AK505,6.660421,-1.563399,,,1850
CHRISTIAN IPS,BOMSO,3.6,average,2,no,no,yes,yes,no,no,2500,AK249,6.681769,-1.581393,,,2800
CRYSTAL ROSE,KENTINKRONO,3.4,average,2,yes,no,no,yes,no,yes,2300,AK571,6.686145,-1.5567,,,2500
CRYSTAL ROSE,KENTINKRONO,3.4,average,3,yes,no,no,yes,no,no,2300,AK571,6.686145,-1.5567,,,2200
CRYSTAL ROSE,KENTINKRONO,3.4,average,4,yes,no,no,yes,no,no,2300,AK571,6.686145,-1.5567,,,1720
DAKENS INTERNATIONAL,AYEDUASE,3.6,average,1,yes,yes,no,yes,no,no,2100,AK627,6.677985,-1.554691,,,1900
DAKENS INTERNATIONAL,AYEDUASE,3.6,average,2,yes,yes,no,yes,no,no,2100,AK627,6.677985,-1.554691,,,1760
DELISA MAIN,AYEDUASE,2.1,fair,2,yes,yes,no,yes,yes,no,1200,AK568,6.674116,-1.558219,,2300,2700
DELISA MAIN,AYEDUASE,2.1,fair,3,yes,yes,no,yes,yes,no,1200,AK568,6.674116,-1.558219,,1800,2300
DEVALYPAH,KOTEI,3.8,good,1,yes,yes,no,yes,no,no,850,AK507,6.668011,-1.564305,,,4200
DEVALYPAH,KOTEI,3.8,good,2,yes,yes,no,yes,no,no,850,AK507,6.668011,-1.564305,,1800,2700
DEVALYPAH,KOTEI,3.8,good,3,yes,yes,no,yes,no,no,850,AK507,6.668011,-1.564305,,,2500
ENIN,AYEDUASE,3.8,good,1,yes,yes,no,yes,yes,no,2700,AK679,6.671922,-1.549935,,,2000
ENIN,AYEDUASE,3.8,good,2,yes,yes,no,yes,yes,no,2700,AK679,6.671922,-1.549935,,1600,2000
F – PLAZA,AYEDUASE,2.1,fair,2,no,yes,yes,no,no,yes,3200,AK680,6.677972,-1.54723,,,3000
F – PLAZA,AYEDUASE,2.1,fair,3,no,yes,yes,no,no,no,3200,AK680,6.677972,-1.54723,,,2020
FLINT,KOTEI,3.8,good,2,yes,yes,no,yes,yes,no,1400,AK507,6.666235,-1.563461,,,3000
FNF,AYEDUASE,3.4,average,1,yes,yes,no,yes,no,no,2600,AK626,6.673397,-1.550189,,,3000
FNF,AYEDUASE,3.4,average,2,yes,yes,no,yes,no,no,2600,AK626,6.673397,-1.550189,,,2500
FOSUA HOMES,AYEDUASE,3.7,good,2,yes,yes,yes,yes,no,no,2700,AK626,6.670869,-1.553032,,2200,2500
FOSUA HOMES,AYEDUASE,3.7,good,3,yes,yes,yes,yes,no,no,2700,AK626,6.670869,-1.553032,1400,1800,2000
FRANCO,KOTEI,4.3,good,2,yes,yes,no,yes,yes,no,1200,AK507,6.669835,-1.561102,,,3500
FRANCO,KOTEI,4.3,good,3,yes,yes,no,yes,yes,no,1200,AK507,6.669835,-1.561102,,2100,2500
FRANCO,KOTEI,4.3,good,4,yes,yes,no,yes,yes,no,1200,AK507,6.669835,-1.561102,,1800,2000
FRONTLINE INN,AYEDUASE,2.4,fair,3,yes,yes,yes,yes,yes,yes,900,AK508,6.672041,-1.562246,,,3000
FRONTLINE INN,AYEDUASE,2.4,fair,4,yes,yes,yes,yes,yes,no,900,AK508,6.672041,-1.562246,,,2000
GAZA,KENTINKRONO,4,good,1,no,yes,yes,yes,no,no,2500,AK572,6.688292,-1.556173,,,5000
GAZA,KENTINKRONO,4,good,2,no,yes,yes,yes,no,no,2500,AK572,6.688292,-1.556173,,,2890
GEORGIA,KENTINKRONO,3.4,average,2,no,no,no,yes,no,yes,2300,AK571,6.687303,-1.55666,,,4000
HALLOWED,KOTEI,3.2,average,1,yes,yes,no,yes,no,no,1600,AK507,6.666191,-1.561748,,,3500
HALLOWED,KOTEI,3.2,average,2,yes,yes,no,yes,no,no,1600,AK507,6.666191,-1.561748,2000,2500,3050
HAPPY FAMILY,AYEDUASE,3.3,average,2,yes,yes,no,yes,yes,no,1100,AK508,6.672038,-1.561377,,2400,2900
HAPPY FAMILY,AYEDUASE,3.3,average,3,yes,yes,no,yes,yes,no,1100,AK508,6.672038,-1.561377,1900,2150,2500
HAPPY FAMILY,AYEDUASE,3.3,average,4,yes,yes,no,yes,yes,no,1100,AK508,6.672038,-1.561377,1400,1650,1950
HIGH ACHIEVERS,AYEDUASE,4.5,good,2,yes,yes,yes,yes,yes,no,2800,AK679,6.67345,-1.549313,2100,2400,2600
HIGH ACHIEVERS,AYEDUASE,4.5,good,3,yes,yes,yes,yes,yes,no,2800,AK679,6.67345,-1.549313,,,2000
