hostel,location,grade,rank,study_room,tv_room,security,food_joint,ext_power,proximity,post_code,latitude,longitude
1. KNUST CoS,KNUST,5,excellent,yes,no,yes,yes,yes,1844.28571428571,AK448,6.672827,-1.567417
ADOM - BI,AYEDUASE,3.7,good,yes,yes,yes,yes,yes,1100,AK508,6.672022,-1.560857
AFRIM,AYEDUASE,3.5,average,yes,no,yes,yes,no,600,AK508,6.673514,-1.563427
AMANDAH,AYEDUASE,3.9,good,yes,yes,no,yes,yes,800,AK508,6.672752,-1.562544
AMEN MAIN,AYEDUASE,2.7,fair,yes,no,yes,yes,no,1200,AK508,6.671211,-1.560507
AMERICAN HOUSE,AYEDUASE,2.9,average,yes,yes,yes,yes,yes,2500,AK626,6.674153,-1.550347
ANAROSA,KOTEI,4.4,good,yes,yes,yes,yes,no,1200,AK507,6.668253,-1.563599
ANGLICAN,KENTINKRONO,3.6,average,yes,yes,yes,yes,no,2900,AK629,6.684385,-1.552968
B O EXECUTIVE,AYEDUASE,3.4,average,yes,yes,yes,yes,yes,1100,AK509,6.676245,-1.561647
BANIVILLAS,KENTINKRONO,3.9,good,yes,no,yes,yes,yes,3000,AK630,6.690227,-1.552436
BEACON,AYEDUASE,3.6,average,yes,yes,yes,yes,yes,1100,AK509,6.678387,-1.56295
BLUE ARK,BOMSO,3,average,no,yes,yes,yes,no,1900,AK316,6.681485,-1.57719
BY HIS GRACE,AYEDUASE,4,good,yes,yes,yes,yes,yes,1000,AK509,6.677138,-1.562924
CANAM,KOTEI,4.2,good,yes,yes,yes,yes,yes,1000,AK507,6.669881,-1.563587
CASA MARIA,AYEDUASE,4,good,yes,yes,yes,yes,yes,1100,AK508,6.670658,-1.561676
CELIA ROYAL,KOTEI,4,good,yes,yes,yes,yes,yes,3700,AK505,6.660421,-1.563399
CHRISTIAN IPS,BOMSO,3.6,average,no,no,yes,yes,no,2500,AK249,6.681769,-1.581393
CRYSTAL ROSE,KENTINKRONO,3.4,average,yes,no,no,yes,no,2300,AK571,6.686145,-1.5567
